epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,788.112,1.76928,3.79241,1.76509,0.66784,0.39582,0.48667,0.2408,1.71612,4.18189,1.89253,0.000412736,0.000412736,0.000412736
2,1531.08,1.72639,2.6451,1.65892,0.63847,0.48273,0.44058,0.19616,1.79132,4.48394,1.91059,0.00081298,0.00081298,0.00081298
3,2282.88,1.67603,2.24653,1.65348,0.42875,0.57454,0.48607,0.23264,1.81566,3.16506,1.93,0.00119672,0.00119672,0.00119672
4,3008.13,1.66969,1.86646,1.60742,0.54026,0.57524,0.56413,0.28221,1.76523,2.46523,1.84037,0.00117575,0.00117575,0.00117575
5,3744.33,1.6422,1.71246,1.56966,0.56054,0.55533,0.57206,0.31249,1.71697,2.32873,1.80572,0.001151,0.001151,0.001151
6,4472.83,1.63169,1.57675,1.58744,0.66895,0.69611,0.72944,0.3794,1.7334,1.73192,1.79474,0.00112625,0.00112625,0.00112625
7,5200.34,1.61599,1.51327,1.56752,0.78447,0.70586,0.76995,0.40117,1.665,1.5946,1.75865,0.0011015,0.0011015,0.0011015
8,5934.5,1.58628,1.4306,1.56235,0.69286,0.65101,0.68913,0.36578,1.65983,1.80975,1.72406,0.00107675,0.00107675,0.00107675
9,6657.86,1.57329,1.32868,1.543,0.70705,0.69436,0.74521,0.41918,1.60519,1.48706,1.65313,0.001052,0.001052,0.001052
10,7395.72,1.52816,1.26275,1.5011,0.79079,0.73643,0.82095,0.44944,1.61081,1.28865,1.70123,0.00102725,0.00102725,0.00102725
11,8127.32,1.50398,1.20613,1.48514,0.80534,0.7549,0.81941,0.45306,1.68612,1.30172,1.69326,0.0010025,0.0010025,0.0010025
12,8855.13,1.55102,1.20031,1.51011,0.76187,0.79241,0.84777,0.47201,1.60735,1.25839,1.657,0.00097775,0.00097775,0.00097775
13,9579.62,1.50883,1.1563,1.48608,0.89124,0.78855,0.8812,0.48173,1.60448,1.09043,1.65672,0.000953,0.000953,0.000953
14,10303.6,1.50707,1.12238,1.49145,0.81121,0.81534,0.86795,0.47917,1.58934,1.13648,1.64514,0.00092825,0.00092825,0.00092825
15,11026.7,1.4716,1.09813,1.46099,0.82833,0.76809,0.86151,0.47661,1.59023,1.08454,1.65311,0.0009035,0.0009035,0.0009035
16,11746.9,1.4754,1.12947,1.46727,0.8296,0.84743,0.884,0.49982,1.6017,1.01743,1.65981,0.00087875,0.00087875,0.00087875
